id,key,instances,category
92,prepare,"['prepare', 'prepare-for', 'prep', 'prep for', 'preppe']",manipulate
93,bake,['bake'],manipulate
94,mark,"['mark', 'mark-on', 'mark off', 'indicate']",manipulate
95,bend,"['bend', 'flex', 'bend with']",manipulate
96,unfreeze,"['unfreeze', 'freeze', 'defrost']",monitor
97,write,"['note', 'pen in', 'copy', 'write down', 'log', 'write', 'write on', 'note down', 'write in', 'sleep', 'record']",manipulate
98,reach,"['reach around', 'reach over', 'reach into', 'reach out', 'reach to', 'reach behind', 'reach up', 'reach from', 'reach towards', 'reach in', 'reach under', 'reach inside', 'reach for', 'reach with', 'reach down', 'reach across', 'reach after', 'reach underneath']",manipulate
99,solidify,"['solidify', 'solidify due']",manipulate
100,work,['work'],manipulate
101,match,['match'],manipulate
102,prove,"['prove', 'confirm', 'prop']",manipulate
103,balance,"['balance out', 'balance with', 'balance on', 'steady with']",manipulate
104,scan,"['scan', 'dig']",monitor
105,produce,['produce'],manipulate
